Итерация,Оригинальный,Элитизм,Адаптивное распространение
316,9.2368e-05,0.00416217,9.67709e-05
317,9.2368e-05,0.00416217,9.67709e-05
318,9.2368e-05,0.00416217,9.67709e-05
319,9.2368e-05,0.00416217,9.67709e-05
320,9.2368e-05,0.000158784,9.67709e-05
321,9.2368e-05,0.000158784,9.67709e-05
322,9.2368e-05,0.000158784,9.67709e-05
323,9.2368e-05,0.000158784,9.67709e-05
324,9.2368e-05,0.000158784,9.67709e-05
325,9.2368e-05,0.000158784,9.67709e-05
326,9.2368e-05,0.000158784,9.67709e-05
327,9.2368e-05,0.000158784,9.67709e-05
328,9.2368e-05,0.000158784,9.67709e-05
329,9.2368e-05,0.000158784,9.67709e-05
330,9.2368e-05,0.000158784,9.67709e-05
331,9.2368e-05,0.000158784,9.67709e-05
332,9.2368e-05,0.000158784,9.67709e-05
333,9.2368e-05,0.000158784,9.67709e-05
334,9.2368e-05,0.000158784,9.67709e-05
335,9.2368e-05,0.000158784,9.67709e-05
336,9.2368e-05,0.000158784,9.67709e-05
337,9.2368e-05,0.000158784,9.67709e-05
338,9.2368e-05,0.000158784,9.67709e-05
339,9.2368e-05,0.000158784,9.67709e-05
340,9.2368e-05,0.000158784,9.67709e-05
341,9.2368e-05,0.000158784,9.67709e-05
342,9.2368e-05,0.000158784,9.67709e-05
343,9.2368e-05,0.000158784,9.67709e-05
344,9.2368e-05,0.000158784,9.67709e-05
345,9.2368e-05,0.000158784,9.67709e-05
346,9.2368e-05,0.000158784,9.67709e-05
347,9.2368e-05,0.000158784,9.67709e-05
348,9.2368e-05,0.000158784,9.67709e-05
349,9.2368e-05,0.000158784,9.67709e-05
350,9.2368e-05,0.000158784,9.67709e-05
351,9.2368e-05,0.000158784,9.67709e-05
352,9.2368e-05,0.000158784,9.67709e-05
353,9.2368e-05,0.000158784,9.67709e-05
354,9.2368e-05,0.000158784,9.67709e-05
355,9.2368e-05,0.000158784,9.67709e-05
356,9.2368e-05,0.000158784,9.67709e-05
357,9.2368e-05,0.000158784,9.67709e-05
358,9.2368e-05,0.000158784,9.67709e-05
359,9.2368e-05,0.000158784,9.67709e-05
360,9.2368e-05,0.000158784,9.67709e-05
361,9.2368e-05,0.000158784,9.67709e-05
362,9.2368e-05,0.000158784,9.67709e-05
363,9.2368e-05,0.000158784,9.67709e-05
364,9.2368e-05,0.000158784,9.67709e-05
365,9.2368e-05,0.000158784,9.67709e-05
366,9.2368e-05,0.000158784,9.67709e-05
367,9.2368e-05,0.000158784,9.67709e-05
368,9.2368e-05,0.000158784,9.67709e-05
369,9.2368e-05,0.000158784,9.67709e-05
370,9.2368e-05,0.000158784,9.67709e-05
371,9.2368e-05,0.000158784,9.67709e-05
372,9.2368e-05,0.000158784,9.67709e-05
373,9.2368e-05,0.000158784,9.67709e-05
374,9.2368e-05,0.000158784,9.67709e-05
375,9.2368e-05,0.000158784,9.67709e-05
376,9.2368e-05,0.000158784,9.67709e-05
377,9.2368e-05,0.000158784,9.67709e-05
378,9.2368e-05,0.000158784,9.67709e-05
379,9.2368e-05,0.000158784,9.67709e-05
380,9.2368e-05,0.000158784,9.67709e-05
381,9.2368e-05,0.000158784,9.67709e-05
382,9.2368e-05,0.000158784,9.67709e-05
383,9.2368e-05,0.000158784,9.67709e-05
384,9.2368e-05,0.000158784,9.67709e-05
385,9.2368e-05,0.000158784,9.67709e-05
386,9.2368e-05,0.000158784,9.67709e-05
387,9.2368e-05,0.000158784,9.67709e-05
388,9.2368e-05,0.000158784,9.67709e-05
389,9.2368e-05,0.000158784,9.67709e-05
390,9.2368e-05,0.000158784,9.67709e-05
391,9.2368e-05,0.000158784,9.67709e-05
392,9.2368e-05,0.000158784,9.67709e-05
393,9.2368e-05,0.000158784,9.67709e-05
394,9.2368e-05,0.000158784,9.67709e-05
395,9.2368e-05,0.000158784,9.67709e-05
